Pair,Asset A,Asset B,Beta,ADF Stat,Half Life,Hurst,Zero Cross,Correlation
AUROPHARMA-TATAPOWER,AUROPHARMA,TATAPOWER,-3.012352325657469,-2.2996272074476725,74.20432703628111,0.4901345928194304,29,-0.6073046064582432
TECHM-TVSMOTOR,TECHM,TVSMOTOR,0.5246757060911061,-2.1993549902881386,86.8215200198246,0.4903225516449473,25,0.6781899767573755
LUPIN-MUTHOOTFIN,LUPIN,MUTHOOTFIN,0.20395645585490088,-3.1128083213919777,32.531546635062206,0.49042451255162456,59,0.9052427096998277
AUROPHARMA-BAJAJFINSV,AUROPHARMA,BAJAJFINSV,-0.6754425235928079,-2.5368392570304836,56.236957276216984,0.4909299968184845,31,-0.6178996898834458
CIPLA-NESTLEIND,CIPLA,NESTLEIND,0.917687335645159,-2.266919417095691,77.4269059293213,0.49098111065487254,34,0.5460248920971679
TCS-JSWSTEEL,TCS,JSWSTEEL,-1.566563528876451,-2.9900634668836363,44.040539612077175,0.4910631362909467,45,-0.6821937995914465
MARICO-IOC,MARICO,IOC,0.5222401936718224,-2.41545083050499,61.063256905714844,0.4910916161134402,34,0.23668282384623093
CIPLA-BPCL,CIPLA,BPCL,-1.9880050332815844,-2.86155277953202,43.46681430989439,0.49124312753262683,57,-0.7389838165167362
GAIL-DABUR,GAIL,DABUR,0.3687436894202058,-1.876858660168371,98.72885442625736,0.4913278585270986,23,0.5811064420046028
HCLTECH-RELIANCE,HCLTECH,RELIANCE,1.5152299782862186,-2.622371054388913,51.55119244507446,0.4916217222581073,50,0.8482243763301164
ULTRACEMCO-BAJAJFINSV,ULTRACEMCO,BAJAJFINSV,3.0255004633586373,-2.6803091131647587,60.64668958632373,0.4916691269274637,25,0.5913106509948716
DRREDDY-TCS,DRREDDY,TCS,0.22563096292008475,-2.859505749268605,52.1673809788875,0.4918792840254537,49,0.5976673179753482
HINDUNILVR-LUPIN,HINDUNILVR,LUPIN,-0.9897057343461665,-2.434804373896212,66.60005497839893,0.49199701517794003,43,-0.6991909021693883
OFSS-HINDUNILVR,OFSS,HINDUNILVR,2.438240898778025,-2.6430499854871763,48.120900479314585,0.4920424013425436,44,0.8240044819020209
TATAPOWER-ASHOKLEY,TATAPOWER,ASHOKLEY,-0.7228192970307494,-2.841281541589733,44.39591379217116,0.4921011648386733,43,-0.7798802615657404
